Order ID,Order Date,Customer ID,Product ID,Region,Quantity,Unit Price,Cost,Return Flag
O0001,2024-12-02,C008,P016,North,8,264,2168,0
O0002,2023-07-07,C028,P013,North,5,329,1180,0
O0003,2023-12-10,C001,P012,West,1,394,28,0
O0004,2024-02-23,C001,P005,South,3,130,546,0
O0005,2023-07-20,C008,P012,South,9,77,1386,0
O0006,2024-12-28,C005,P003,West,7,456,567,0
O0007,2024-09-04,C015,P014,East,3,498,738,0
O0008,2023-01-15,C026,P010,West,7,304,1582,0
O0009,2023-04-06,C004,P005,East,7,290,497,0
O0010,2024-11-29,C019,P002,South,4,62,716,0
O0011,2024-09-11,C012,P020,South,9,183,423,0
O0012,2023-07-09,C001,P001,North,7,397,1750,0
O0013,2023-09-16,C007,P006,West,9,165,2268,0
O0014,2024-11-14,C024,P015,East,5,274,1265,0
O0015,2023-04-23,C030,P017,South,8,282,1592,1
O0016,2024-09-04,C017,P017,East,7,435,924,0
O0017,2023-08-13,C001,P019,South,2,269,146,0
O0018,2024-03-14,C011,P017,East,6,465,1596,0
O0019,2023-07-17,C022,P011,East,5,421,585,0
O0020,2023-07-06,C006,P016,North,1,250,143,0
O0021,2023-05-28,C007,P020,North,4,452,664,0
O0022,2024-04-17,C018,P010,East,7,387,1036,0
O0023,2023-10-31,C030,P012,North,9,109,189,1
O0024,2023-04-09,C019,P016,West,7,58,1764,0
O0025,2024-11-03,C024,P020,East,8,103,1112,1
O0026,2023-09-11,C003,P016,South,4,471,492,1
O0027,2023-06-12,C016,P009,West,9,398,1917,0
O0028,2024-05-18,C008,P007,East,1,447,296,0
O0029,2024-10-31,C006,P006,North,1,225,41,0
O0030,2023-08-14,C021,P001,West,8,332,368,0
O0031,2024-05-30,C003,P017,West,1,366,166,0
O0032,2023-02-06,C024,P017,South,5,55,590,1
O0033,2023-07-10,C029,P001,West,3,237,405,0
O0034,2024-07-19,C026,P003,West,2,330,484,0
O0035,2024-09-30,C027,P010,South,2,337,340,0
O0036,2023-06-25,C007,P010,East,8,466,2120,0
O0037,2024-05-20,C007,P004,North,2,458,64,0
O0038,2024-04-15,C015,P002,South,8,449,1288,0
O0039,2024-11-28,C030,P017,West,6,100,1032,0
O0040,2023-09-21,C021,P012,West,6,493,720,0
O0041,2024-10-17,C013,P018,West,4,311,264,0
O0042,2024-08-26,C026,P005,South,3,194,417,1
O0043,2023-02-27,C026,P001,East,7,176,1036,0
O0044,2024-05-02,C013,P001,West,6,97,648,0
O0045,2023-03-17,C026,P016,East,5,327,1330,0
O0046,2023-03-10,C015,P017,South,9,334,2151,0
O0047,2024-04-18,C016,P007,West,4,253,948,0
O0048,2024-06-05,C022,P005,West,5,72,1345,0
O0049,2023-11-21,C013,P004,West,3,491,345,0
O0050,2024-04-19,C020,P012,South,7,307,1253,0
O0051,2024-03-02,C005,P012,East,1,466,198,0
O0052,2024-07-09,C029,P013,West,8,379,496,0
O0053,2023-02-04,C023,P017,South,2,302,522,0
O0054,2023-07-15,C026,P018,North,2,164,248,1
O0055,2023-10-04,C029,P004,South,8,469,1888,0
O0056,2024-11-19,C003,P016,West,8,241,1968,0
O0057,2024-10-24,C030,P005,West,7,145,1197,0
O0058,2023-03-03,C020,P016,North,7,266,2044,0
O0059,2024-01-31,C029,P009,East,3,226,357,0
O0060,2024-01-19,C020,P019,South,7,333,1575,0
O0061,2024-01-31,C025,P020,East,5,118,590,0
O0062,2024-07-22,C007,P013,North,5,200,815,0
O0063,2024-09-25,C005,P003,East,7,447,1694,0
O0064,2023-01-09,C010,P012,North,2,288,190,0
O0065,2023-06-17,C010,P009,South,7,223,1120,0
O0066,2023-06-14,C006,P019,West,2,54,96,0
O0067,2024-05-25,C007,P013,West,1,391,164,0
O0068,2023-06-16,C027,P010,South,3,494,603,0
O0069,2023-08-08,C030,P020,West,3,222,480,0
O0070,2024-01-22,C013,P017,North,9,472,180,0
O0071,2023-02-27,C012,P013,West,6,166,918,0
O0072,2023-07-22,C028,P005,West,5,129,1160,0
O0073,2023-08-21,C017,P014,East,4,490,264,0
O0074,2024-10-17,C023,P011,West,5,103,1390,1
O0075,2024-01-08,C008,P004,South,8,407,1400,0
O0076,2023-02-10,C004,P017,North,2,77,478,0
O0077,2024-07-11,C003,P006,South,4,269,1036,0
O0078,2023-08-30,C027,P013,North,5,352,145,0
O0079,2023-05-26,C015,P017,East,1,423,84,0
O0080,2024-04-05,C001,P002,North,9,391,1764,0
O0081,2024-04-20,C017,P005,East,1,454,25,0
O0082,2024-07-18,C005,P010,South,3,486,126,0
O0083,2023-02-20,C013,P013,West,5,127,100,0
O0084,2023-12-14,C008,P007,South,1,337,53,0
O0085,2023-11-02,C012,P001,South,6,167,1668,1
O0086,2023-10-30,C023,P015,North,9,450,1179,0
O0087,2024-02-26,C028,P002,South,2,124,244,0
O0088,2023-06-15,C001,P015,West,2,335,536,0
O0089,2023-05-18,C024,P017,South,3,130,456,0
O0090,2023-02-22,C002,P013,South,4,118,212,0
O0091,2024-10-24,C023,P016,East,3,160,804,0
O0092,2023-10-08,C003,P003,East,8,437,1624,0
O0093,2023-02-20,C019,P005,South,2,110,282,0
O0094,2024-10-06,C009,P012,South,6,454,120,0
O0095,2023-03-14,C026,P015,North,1,127,237,0
O0096,2023-02-17,C029,P017,South,8,399,1008,0
O0097,2024-11-22,C015,P015,East,8,162,2176,1
O0098,2024-01-21,C013,P014,East,7,127,1645,0
O0099,2023-12-29,C015,P013,South,7,52,910,0
O0100,2023-07-11,C025,P005,West,3,420,102,0
O0101,2023-03-27,C026,P012,North,9,322,2250,0
O0102,2024-01-29,C003,P009,North,4,74,348,0
O0103,2024-09-14,C008,P008,North,4,160,212,0
O0104,2024-11-22,C026,P002,East,9,150,225,0
O0105,2023-10-04,C006,P006,East,6,278,1014,0
O0106,2023-08-31,C008,P005,West,8,360,1248,1
O0107,2023-03-16,C004,P015,South,6,371,1434,1
O0108,2024-03-16,C002,P015,East,8,484,648,0
O0109,2023-11-22,C026,P004,East,3,222,456,0
O0110,2024-07-12,C001,P014,West,4,162,636,0
O0111,2024-11-03,C006,P018,West,4,382,1112,0
O0112,2023-01-13,C008,P002,West,7,187,1337,0
O0113,2024-07-03,C023,P003,South,5,378,1460,0
O0114,2023-11-30,C021,P011,North,5,367,1275,0
O0115,2023-10-23,C022,P008,East,3,84,60,0
O0116,2023-01-05,C019,P014,South,3,262,552,1
O0117,2023-03-30,C018,P008,West,9,286,549,0
O0118,2024-07-28,C015,P001,North,3,174,126,0
O0119,2023-04-14,C019,P007,East,7,499,861,0
O0120,2024-07-07,C020,P015,East,3,440,594,0
O0121,2024-07-03,C025,P001,North,4,280,704,0
O0122,2023-07-15,C022,P002,South,7,338,1911,0
O0123,2023-08-16,C013,P020,West,1,167,178,0
O0124,2023-02-16,C004,P012,North,8,310,1408,0
O0125,2024-10-21,C011,P010,West,3,292,264,0
O0126,2023-05-21,C008,P018,North,8,72,1896,0
O0127,2024-04-04,C012,P004,West,8,365,1520,0
O0128,2023-04-16,C017,P009,South,8,342,1168,0
O0129,2024-02-11,C001,P014,North,8,346,1864,1
O0130,2024-07-20,C019,P008,East,4,231,80,0
O0131,2023-07-21,C020,P009,East,9,358,1404,0
O0132,2024-01-21,C007,P018,East,9,139,846,0
O0133,2023-06-28,C022,P007,West,1,177,270,0
O0134,2023-10-12,C011,P018,North,8,210,1568,0
O0135,2023-05-28,C022,P008,North,1,133,196,0
O0136,2023-11-14,C030,P017,North,7,484,1610,0
O0137,2024-08-12,C019,P015,South,8,68,296,0
O0138,2024-11-08,C019,P004,North,1,163,241,0
O0139,2024-04-02,C019,P014,South,7,408,1050,0
O0140,2024-01-26,C029,P008,North,7,104,1379,0
O0141,2023-11-24,C022,P015,North,3,492,822,0
O0142,2024-02-22,C003,P014,West,1,141,283,0
O0143,2024-04-13,C014,P016,South,4,214,804,0
O0144,2023-03-26,C019,P016,North,7,210,1190,0
O0145,2024-06-06,C010,P002,East,2,51,432,0
O0146,2023-08-14,C021,P012,East,4,310,1100,1
O0147,2024-08-15,C010,P014,East,6,413,1794,0
O0148,2023-07-28,C014,P009,West,1,419,134,0
O0149,2023-10-05,C011,P014,West,9,408,1980,0
O0150,2023-05-26,C021,P010,West,2,264,188,0
O0151,2023-06-02,C006,P012,East,2,66,368,0
O0152,2023-06-17,C002,P012,North,6,76,918,0
O0153,2024-02-05,C026,P014,West,7,443,1344,0
O0154,2024-11-23,C004,P019,South,6,412,1272,0
O0155,2023-04-23,C027,P007,West,8,60,1464,0
O0156,2024-10-25,C022,P005,West,2,104,260,0
O0157,2024-04-11,C003,P020,East,4,288,668,0
O0158,2024-03-25,C021,P009,North,2,250,346,0
O0159,2024-09-07,C010,P007,East,1,266,80,0
O0160,2024-03-10,C030,P006,South,5,157,955,0
O0161,2023-11-26,C025,P017,East,5,93,180,0
O0162,2024-10-22,C017,P005,South,8,388,2264,0
O0163,2023-09-25,C015,P009,North,8,74,864,0
O0164,2023-09-07,C007,P014,East,7,450,735,0
O0165,2024-05-12,C027,P018,East,9,420,1755,0
O0166,2023-09-30,C014,P003,West,7,451,854,0
O0167,2023-07-02,C023,P012,East,2,180,380,0
O0168,2023-06-10,C016,P013,South,1,53,229,0
O0169,2023-06-19,C002,P013,North,2,360,492,0
O0170,2023-01-29,C030,P017,North,3,428,174,0
O0171,2023-08-27,C025,P010,South,9,321,2295,0
O0172,2024-11-19,C003,P013,South,7,389,588,0
O0173,2023-10-20,C025,P016,North,2,373,330,1
O0174,2023-07-06,C026,P005,North,9,448,1431,0
O0175,2023-03-03,C013,P002,North,6,344,180,0
O0176,2024-10-21,C029,P019,North,4,108,364,0
O0177,2024-05-20,C003,P006,North,2,362,474,0
O0178,2023-04-09,C020,P017,North,7,226,196,0
O0179,2023-05-25,C024,P003,West,3,227,243,0
O0180,2023-11-25,C004,P014,North,8,430,864,0
O0181,2024-06-24,C009,P003,North,9,489,1278,0
O0182,2023-09-18,C011,P002,West,9,89,396,0
O0183,2023-06-25,C026,P018,South,6,377,1620,1
O0184,2023-02-09,C013,P019,South,5,130,665,0
O0185,2023-10-16,C006,P019,West,8,403,472,0
O0186,2024-11-11,C013,P011,North,1,108,78,0
O0187,2024-02-26,C028,P007,North,4,240,696,0
O0188,2024-03-01,C010,P011,North,9,80,378,0
O0189,2024-12-18,C013,P012,East,2,405,554,0
O0190,2023-12-26,C002,P013,East,1,282,36,0
O0191,2023-08-21,C002,P015,South,3,463,279,0
O0192,2023-11-20,C027,P017,West,6,245,1566,0
O0193,2024-04-18,C024,P018,South,6,242,246,1
O0194,2024-01-16,C012,P007,North,4,300,984,0
O0195,2024-04-03,C026,P002,South,6,416,588,0
O0196,2023-09-28,C023,P011,West,4,148,232,0
O0197,2024-12-07,C017,P012,West,4,71,184,0
O0198,2024-10-20,C025,P005,East,5,352,515,0
O0199,2023-06-12,C017,P012,South,6,64,1086,0
O0200,2024-08-27,C021,P008,East,8,109,1312,0
O0201,2024-06-19,C028,P003,West,2,248,400,0
O0202,2024-03-30,C017,P012,West,9,271,2025,0
O0203,2024-05-15,C021,P002,West,6,481,1398,0
O0204,2023-10-01,C030,P018,South,1,121,296,1
O0205,2023-10-28,C025,P001,West,6,81,180,0
O0206,2024-11-21,C024,P009,North,8,316,1864,0
O0207,2024-10-21,C001,P010,West,6,135,666,0
O0208,2024-08-11,C020,P007,South,1,51,244,1
O0209,2024-03-03,C017,P008,East,2,192,250,0
O0210,2023-03-14,C007,P009,South,6,58,1686,1
O0211,2023-11-14,C015,P007,East,8,227,824,0
O0212,2024-02-14,C003,P009,West,4,439,164,0
O0213,2024-06-07,C013,P013,East,2,61,212,0
O0214,2024-09-22,C021,P019,West,7,287,1344,0
O0215,2024-07-02,C024,P009,East,2,260,338,0
O0216,2023-07-26,C001,P007,West,3,84,336,0
O0217,2024-02-08,C005,P004,West,5,208,215,0
O0218,2024-07-15,C017,P019,West,4,493,684,0
O0219,2024-07-31,C015,P002,West,5,403,1235,0
O0220,2023-09-03,C029,P012,East,3,420,615,0
O0221,2024-06-03,C004,P016,South,8,70,1952,0
O0222,2023-11-14,C022,P015,South,2,424,120,0
O0223,2023-05-25,C027,P002,East,9,133,1341,0
O0224,2023-10-28,C023,P015,East,1,473,183,0
O0225,2024-08-14,C010,P010,West,3,167,867,0
O0226,2024-11-13,C012,P001,North,1,182,295,0
O0227,2023-04-17,C005,P015,North,4,333,560,0
O0228,2023-06-05,C015,P015,South,1,169,63,0
O0229,2024-05-25,C005,P020,South,4,419,596,0
O0230,2024-04-29,C021,P005,North,7,84,1519,0
O0231,2023-08-04,C027,P011,South,4,230,1044,1
O0232,2023-02-08,C024,P015,East,2,334,408,0
O0233,2024-01-19,C030,P013,West,6,389,1020,0
O0234,2024-10-30,C006,P005,East,7,57,1036,0
O0235,2023-08-06,C011,P010,South,2,242,276,0
O0236,2023-10-30,C008,P017,West,1,75,155,0
O0237,2023-05-27,C016,P014,North,9,351,180,0
O0238,2024-12-04,C006,P009,North,9,139,2151,0
O0239,2023-06-08,C009,P011,West,9,294,864,0
O0240,2023-01-19,C006,P002,South,6,181,726,0
O0241,2023-12-10,C030,P007,North,7,388,1036,0
O0242,2023-05-23,C021,P019,West,1,125,218,0
O0243,2024-05-11,C003,P012,South,1,354,243,0
O0244,2023-01-03,C021,P008,West,3,159,852,0
O0245,2024-10-26,C012,P005,South,5,270,865,0
O0246,2023-12-09,C006,P014,South,4,320,248,0
O0247,2023-12-02,C015,P015,North,5,456,630,0
O0248,2023-05-21,C022,P019,South,3,320,888,0
O0249,2024-05-08,C027,P015,West,4,422,284,0
O0250,2023-01-02,C017,P013,West,4,207,660,0
O0251,2024-08-08,C007,P013,East,7,400,889,0
O0252,2023-03-25,C004,P007,South,8,290,440,0
O0253,2023-05-21,C023,P009,South,8,222,528,0
O0254,2024-09-28,C010,P008,West,8,427,1120,0
O0255,2024-10-25,C019,P004,West,5,117,345,0
O0256,2024-03-14,C018,P005,East,9,195,1647,0
O0257,2024-10-22,C017,P016,North,2,210,276,0
O0258,2024-10-11,C009,P014,North,7,209,210,0
O0259,2024-08-19,C018,P003,South,9,307,2538,0
O0260,2024-04-03,C007,P014,East,7,474,1820,0
O0261,2024-09-12,C014,P004,West,6,91,1116,0
O0262,2024-10-09,C001,P006,North,4,436,368,0
O0263,2024-05-31,C012,P008,South,1,365,149,0
O0264,2023-09-16,C022,P006,South,3,349,231,1
O0265,2023-12-20,C023,P020,West,2,151,456,0
O0266,2024-09-09,C030,P016,West,4,382,908,0
O0267,2024-06-25,C013,P019,West,8,52,1304,0
O0268,2023-12-30,C001,P020,South,4,409,1068,0
O0269,2024-04-04,C006,P020,South,8,280,1440,0
O0270,2024-07-31,C009,P002,East,4,200,532,0
O0271,2024-12-02,C023,P004,South,1,380,199,0
O0272,2023-12-08,C028,P005,West,3,455,486,0
O0273,2024-08-16,C013,P003,South,1,91,185,0
O0274,2024-06-09,C009,P015,North,6,116,156,0
O0275,2023-09-23,C025,P002,North,2,468,450,0
O0276,2023-04-20,C016,P014,North,1,213,114,0
O0277,2024-10-14,C021,P002,West,3,474,132,0
O0278,2024-08-02,C013,P012,West,4,74,392,0
O0279,2023-02-12,C030,P002,West,4,195,716,0
O0280,2023-12-11,C002,P011,South,3,54,855,0
O0281,2023-05-29,C009,P014,East,8,132,944,0
O0282,2024-09-06,C008,P017,North,1,309,279,0
O0283,2024-02-26,C007,P018,East,4,270,572,0
O0284,2023-04-02,C022,P014,East,3,56,522,0
O0285,2024-01-21,C030,P006,East,6,182,1212,0
O0286,2023-01-13,C021,P018,North,7,363,588,1
O0287,2023-06-13,C017,P003,North,2,222,358,0
O0288,2023-07-02,C021,P004,South,5,357,1375,0
O0289,2024-03-11,C029,P006,South,2,281,492,0
O0290,2023-01-17,C024,P009,North,1,154,211,0
O0291,2023-08-20,C021,P011,East,1,59,261,0
O0292,2023-06-22,C019,P005,West,6,249,588,1
O0293,2023-07-19,C025,P011,North,7,150,189,0
O0294,2024-10-06,C020,P008,South,8,201,288,0
O0295,2024-01-26,C019,P019,East,4,188,920,0
O0296,2023-11-16,C010,P006,East,5,399,135,0
O0297,2023-12-26,C025,P009,South,1,272,155,0
O0298,2024-09-08,C009,P018,South,3,98,291,0
O0299,2024-11-23,C016,P002,East,8,307,2304,0
O0300,2024-10-26,C008,P014,West,1,473,202,0
O0301,2023-06-21,C019,P014,North,2,327,464,0
O0302,2023-08-10,C023,P007,North,3,171,153,0
O0303,2024-09-29,C008,P014,West,2,198,336,0
O0304,2023-07-22,C022,P011,North,7,285,1701,1
O0305,2023-08-01,C015,P020,East,2,307,96,1
O0306,2023-02-13,C013,P011,North,3,456,321,0
O0307,2024-09-21,C019,P007,West,8,52,1680,0
O0308,2023-12-28,C026,P016,West,5,160,775,0
O0309,2024-04-27,C010,P002,East,5,52,615,0
O0310,2023-03-07,C009,P016,North,5,433,1250,0
O0311,2024-08-24,C026,P012,North,4,135,1012,0
O0312,2024-08-09,C016,P019,East,9,467,351,0
O0313,2024-11-28,C004,P015,North,8,260,960,0
O0314,2024-04-13,C022,P008,East,8,276,1384,0
O0315,2023-07-07,C025,P013,West,6,479,1674,0
O0316,2024-06-09,C003,P005,West,7,53,1680,0
O0317,2024-06-19,C002,P018,East,4,437,1092,0
O0318,2024-02-10,C024,P013,West,3,354,690,0
O0319,2023-01-19,C016,P013,West,6,166,1266,0
O0320,2024-09-19,C017,P015,East,1,232,165,0
O0321,2024-02-05,C006,P004,West,6,350,1080,0
O0322,2023-05-04,C011,P007,North,6,96,582,1
O0323,2023-02-19,C003,P013,East,5,110,785,0
O0324,2024-03-01,C003,P014,South,6,247,420,0
O0325,2024-12-04,C005,P004,South,5,98,465,0
O0326,2023-11-09,C004,P006,North,7,344,1036,0
O0327,2024-10-25,C025,P004,North,9,80,927,0
O0328,2023-08-08,C014,P010,West,6,269,1092,0
O0329,2024-07-09,C009,P013,West,9,254,801,0
O0330,2024-03-16,C021,P004,South,4,387,1076,0
O0331,2024-02-03,C018,P011,West,7,119,1022,0
O0332,2024-05-06,C024,P014,North,7,454,1211,0
O0333,2023-05-11,C023,P005,West,5,131,440,0
O0334,2023-06-27,C021,P004,East,3,394,540,0
O0335,2024-10-25,C029,P002,West,7,135,700,0
O0336,2023-06-26,C017,P002,South,9,472,945,0
O0337,2024-05-28,C022,P016,North,2,114,48,0
O0338,2024-11-09,C022,P012,West,2,193,288,0
O0339,2024-10-11,C003,P019,East,6,493,468,0
O0340,2023-06-03,C004,P014,West,7,326,273,0
O0341,2023-03-20,C022,P020,West,8,281,1856,0
O0342,2023-01-26,C017,P002,North,9,217,693,0
O0343,2024-07-07,C020,P003,South,3,93,348,0
O0344,2024-03-02,C019,P005,East,7,138,1379,0
O0345,2024-04-29,C021,P008,East,8,457,1464,0
O0346,2024-04-12,C006,P012,South,8,259,488,0
O0347,2023-10-10,C018,P011,West,3,414,834,0
O0348,2024-11-18,C011,P005,West,1,57,120,0
O0349,2024-10-10,C012,P011,South,6,324,306,0
O0350,2024-06-16,C030,P013,South,1,112,128,0
O0351,2023-09-04,C027,P005,North,6,272,468,0
O0352,2024-01-17,C030,P005,East,4,330,692,0
O0353,2023-07-30,C028,P012,North,9,421,1377,0
O0354,2023-08-14,C022,P003,West,9,262,2115,0
O0355,2023-08-06,C030,P001,North,5,205,1335,0
O0356,2023-10-06,C016,P017,North,2,90,188,0
O0357,2023-09-29,C002,P002,East,3,338,693,0
O0358,2023-05-04,C001,P008,East,7,250,1169,0
O0359,2023-07-10,C021,P003,North,3,53,486,0
O0360,2024-01-28,C003,P013,East,4,191,232,0
O0361,2023-08-07,C023,P002,West,1,183,270,0
O0362,2024-06-30,C019,P014,East,4,377,836,0
O0363,2023-06-03,C006,P016,North,9,473,2601,0
O0364,2024-12-13,C028,P020,North,3,436,882,1
O0365,2024-01-10,C025,P019,East,9,300,1287,0
O0366,2024-04-09,C030,P009,West,8,471,1464,0
O0367,2023-07-22,C021,P003,North,4,138,644,0
O0368,2024-05-28,C009,P014,South,9,245,783,0
O0369,2024-03-07,C030,P012,East,7,65,567,0
O0370,2023-11-21,C016,P020,North,2,304,336,0
O0371,2024-04-26,C024,P001,West,1,250,54,0
O0372,2023-06-23,C015,P015,North,8,381,760,0
O0373,2024-06-16,C019,P006,West,4,142,1004,0
O0374,2024-02-10,C012,P013,East,3,181,141,0
O0375,2024-08-06,C023,P006,South,2,211,552,0
O0376,2023-09-19,C026,P008,East,2,450,160,0
O0377,2024-09-12,C017,P003,West,1,490,112,0
O0378,2024-10-14,C029,P006,North,4,361,784,0
O0379,2023-12-07,C021,P017,West,8,92,872,0
O0380,2023-12-10,C005,P017,North,6,431,1512,0
O0381,2023-07-02,C009,P007,North,5,356,390,0
O0382,2024-07-11,C013,P001,West,3,444,438,0
O0383,2023-09-25,C029,P016,North,8,494,1024,0
O0384,2023-06-02,C027,P014,East,7,299,189,0
O0385,2024-10-19,C002,P004,South,7,226,1358,0
O0386,2024-02-16,C008,P020,North,4,131,664,0
O0387,2023-04-15,C010,P002,East,3,192,180,0
O0388,2024-12-13,C025,P007,West,2,100,274,0
O0389,2024-05-28,C029,P006,East,6,204,816,0
O0390,2023-09-25,C003,P011,North,8,307,800,0
O0391,2023-02-18,C025,P006,West,5,262,405,0
O0392,2024-03-04,C023,P009,North,2,469,236,0
O0393,2023-06-05,C012,P015,North,2,337,428,0
O0394,2024-11-02,C026,P004,West,8,124,536,0
O0395,2023-01-07,C004,P005,West,7,339,1225,0
O0396,2023-07-21,C028,P018,West,4,324,704,0
O0397,2023-11-21,C008,P002,West,1,418,83,0
O0398,2024-01-23,C017,P013,South,6,370,300,0
O0399,2023-03-16,C013,P004,South,8,393,688,0
O0400,2024-07-16,C018,P006,East,6,412,1518,0
O0401,2023-05-05,C005,P010,West,5,79,705,0
O0402,2023-07-20,C017,P013,East,7,183,1505,1
O0403,2023-10-05,C004,P005,North,4,450,512,0
O0404,2023-12-20,C013,P019,South,2,414,122,0
O0405,2023-12-25,C004,P019,North,5,349,790,0
O0406,2023-05-19,C004,P019,North,8,174,1040,1
O0407,2024-10-25,C026,P019,North,2,153,466,0
O0408,2024-10-18,C005,P004,South,8,333,192,0
O0409,2024-11-15,C015,P012,South,5,403,1430,0
O0410,2023-01-20,C009,P014,South,7,54,1421,1
O0411,2024-10-27,C016,P012,West,1,420,166,0
O0412,2023-08-16,C006,P011,North,6,232,1614,0
O0413,2024-12-04,C025,P019,South,7,448,1554,0
O0414,2024-08-26,C019,P015,East,5,268,505,0
O0415,2023-02-17,C009,P008,West,7,414,1274,0
O0416,2023-05-27,C006,P003,East,1,418,244,0
O0417,2024-04-24,C022,P011,East,7,257,931,0
O0418,2024-11-11,C024,P003,West,5,253,1065,0
O0419,2023-04-23,C008,P007,South,3,68,849,0
O0420,2024-07-02,C001,P015,North,1,341,44,0
O0421,2023-05-08,C009,P001,West,8,438,1656,0
O0422,2024-01-19,C004,P006,East,8,72,2272,0
O0423,2024-11-15,C002,P013,North,3,447,621,0
O0424,2024-10-18,C023,P002,South,6,65,510,0
O0425,2023-07-03,C015,P002,East,6,237,192,0
O0426,2023-01-27,C022,P007,North,7,169,518,0
O0427,2024-03-12,C013,P019,North,1,282,177,0
O0428,2023-12-03,C023,P010,South,9,263,450,0
O0429,2023-06-09,C018,P014,South,6,101,1002,0
O0430,2023-01-30,C004,P013,East,4,102,164,0
O0431,2023-10-17,C018,P002,East,2,61,276,0
O0432,2023-06-03,C018,P006,North,1,128,260,0
O0433,2024-10-29,C011,P001,East,2,313,352,0
O0434,2023-05-21,C019,P017,South,2,477,238,0
O0435,2024-04-15,C026,P001,West,3,470,615,0
O0436,2023-01-23,C021,P011,North,8,488,1552,0
O0437,2024-03-27,C015,P009,North,8,413,240,0
O0438,2024-05-16,C016,P007,West,3,189,360,0
O0439,2023-08-15,C012,P009,West,3,352,495,0
O0440,2023-01-31,C002,P016,North,2,278,238,0
O0441,2024-09-12,C023,P013,North,6,489,714,0
O0442,2023-10-01,C003,P006,West,8,313,2256,0
O0443,2023-12-22,C021,P011,East,8,359,672,0
O0444,2024-10-11,C021,P012,East,1,167,73,0
O0445,2024-02-02,C010,P003,North,5,151,1495,0
O0446,2023-07-01,C020,P011,North,6,66,1722,1
O0447,2023-06-05,C016,P015,North,6,370,828,0
O0448,2024-11-29,C015,P009,South,6,230,1134,0
O0449,2023-02-02,C023,P007,West,7,273,1204,0
O0450,2024-09-14,C019,P009,West,5,184,1235,0
O0451,2023-08-02,C027,P004,West,1,266,64,0
O0452,2023-08-14,C028,P013,East,9,206,1053,0
O0453,2024-01-28,C023,P005,West,4,139,492,1
O0454,2024-06-23,C022,P009,North,2,380,324,0
O0455,2023-01-25,C010,P013,East,7,411,315,0
O0456,2024-02-16,C011,P011,North,5,409,435,0
O0457,2024-03-13,C028,P015,East,4,151,940,0
O0458,2023-01-05,C020,P020,North,2,331,520,0
O0459,2023-01-15,C029,P014,North,6,210,1470,0
O0460,2024-08-12,C010,P014,North,6,495,1374,0
O0461,2024-06-03,C012,P013,East,3,55,336,0
O0462,2024-06-06,C028,P012,South,1,289,69,0
O0463,2024-07-13,C024,P012,East,4,404,1084,0
O0464,2024-01-25,C004,P012,East,2,68,346,0
O0465,2023-09-02,C016,P002,South,2,322,252,0
O0466,2024-03-02,C007,P017,East,8,401,904,1
O0467,2023-03-27,C012,P009,North,2,391,224,0
O0468,2023-06-20,C021,P010,West,5,205,1370,0
O0469,2024-09-04,C027,P003,West,7,481,770,0
O0470,2023-09-04,C027,P002,East,4,314,1068,0
O0471,2024-02-08,C021,P003,East,9,142,2340,1
O0472,2023-04-26,C029,P020,North,1,323,192,0
O0473,2023-02-27,C026,P013,West,4,498,532,0
O0474,2024-02-05,C022,P002,West,9,154,1908,0
O0475,2024-10-12,C024,P019,North,4,246,1100,0
O0476,2024-11-30,C007,P015,East,3,452,384,1
O0477,2023-03-25,C015,P018,West,8,182,1208,0
O0478,2023-04-22,C007,P014,West,8,90,1328,0
O0479,2024-02-25,C001,P003,East,4,427,1160,0
O0480,2023-06-13,C002,P010,West,8,496,1664,0
O0481,2023-09-05,C020,P013,North,9,482,1800,0
O0482,2024-05-23,C025,P006,North,5,367,940,0
O0483,2023-03-26,C029,P020,East,8,440,976,0
O0484,2024-05-25,C004,P015,North,6,352,342,0
O0485,2024-12-02,C005,P016,East,7,363,343,0
O0486,2024-07-04,C016,P008,North,9,431,594,0
O0487,2023-02-01,C027,P002,East,7,336,1547,0
O0488,2024-12-26,C025,P017,West,1,188,29,1
O0489,2023-07-10,C025,P019,West,9,172,1089,1
O0490,2023-04-06,C007,P006,North,8,243,984,0
O0491,2024-02-22,C027,P009,North,7,175,700,0
O0492,2024-05-29,C017,P017,West,6,311,1584,0
O0493,2024-04-18,C015,P004,West,7,241,588,0
O0494,2024-02-23,C008,P014,South,4,451,248,0
O0495,2024-12-28,C027,P019,South,2,238,532,0
O0496,2024-03-28,C027,P016,South,1,217,212,0
O0497,2024-08-14,C027,P011,South,3,196,669,0
O0498,2024-05-28,C024,P019,North,4,477,680,0
O0499,2024-08-17,C019,P018,West,7,255,931,0
O0500,2023-05-06,C021,P011,North,1,162,31,0
